Entry_Number,Date,Time,Temperature,Humidity,P_Code 
42,15/5/2019,15:23:44,31.44,46.31,JW100239 
43,15/5/2019,15:23:45,31.31,44.72,JW100239 
44,15/5/2019,15:23:46,31.19,43.30,JW100239 
45,15/5/2019,15:23:47,31.08,42.01,JW100239 
46,15/5/2019,15:23:48,30.98,40.84,JW100239 
0,15/5/2019,15:23:59,30.82,35.05,KM450230 
1,15/5/2019,15:24:00,30.69,34.73,KM450230 
2,15/5/2019,15:24:01,30.59,34.49,KM450230 
3,15/5/2019,15:24:02,30.50,34.26,KM450230 
4,15/5/2019,15:24:03,30.43,34.02,KM450230 
5,15/5/2019,15:24:04,30.37,33.82,KM450230 
6,15/5/2019,15:24:05,30.32,33.65,KM450230 
7,15/5/2019,15:24:06,30.28,33.48,KM450230 
8,15/5/2019,15:24:07,30.24,33.33,KM450230 
9,15/5/2019,15:24:09,30.20,33.21,KM450230 
10,15/5/2019,15:24:10,30.21,33.11,KM450230 
11,15/5/2019,15:24:11,30.71,33.92,KM450230 
12,15/5/2019,15:24:12,31.26,36.59,KM450230 
13,15/5/2019,15:24:13,31.71,39.67,KM450230 
14,15/5/2019,15:24:14,32.06,42.19,KM450230 
15,15/5/2019,15:24:15,32.34,44.03,KM450230 
16,15/5/2019,15:24:16,32.55,45.42,KM450230 
17,15/5/2019,15:24:17,32.72,46.43,KM450230 
18,15/5/2019,15:24:19,32.84,47.19,KM450230 
19,15/5/2019,15:24:20,32.94,47.80,KM450230 
20,15/5/2019,15:24:21,33.00,48.23,KM450230 
21,15/5/2019,15:24:22,33.06,48.60,KM450230 
22,15/5/2019,15:24:23,33.09,48.88,KM450230 
23,15/5/2019,15:24:24,33.12,49.12,KM450230 
24,15/5/2019,15:24:25,33.14,49.31,KM450230 
25,15/5/2019,15:24:26,33.15,49.48,KM450230 
26,15/5/2019,15:24:27,33.15,49.64,KM450230 
27,15/5/2019,15:24:29,33.15,49.77,KM450230 
28,15/5/2019,15:24:30,33.14,49.90,KM450230 
29,15/5/2019,15:24:31,33.14,50.01,KM450230 
30,15/5/2019,15:24:32,33.09,50.14,KM450230 
31,15/5/2019,15:24:33,32.92,50.03,KM450230 
32,15/5/2019,15:24:34,32.71,49.26,KM450230 
33,15/5/2019,15:24:35,32.50,48.03,KM450230 
34,15/5/2019,15:24:36,32.30,46.52,KM450230 
35,15/5/2019,15:24:37,32.12,44.94,KM450230 
36,15/5/2019,15:24:38,31.96,43.43,KM450230 
37,15/5/2019,15:24:40,31.81,42.07,KM450230 
38,15/5/2019,15:24:41,31.68,40.83,KM450230 
39,15/5/2019,15:24:42,31.56,39.71,KM450230 
40,15/5/2019,15:24:43,31.45,38.72,KM450230 
